"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","607.60","602.80","608.86","594.78","12.36M","2.87%"
"13/03/2025","590.64","620.24","620.50","586.51","16.48M","-4.67%"
"12/03/2025","619.56","629.90","633.33","609.35","15.75M","2.29%"
"11/03/2025","605.71","595.05","614.93","593.33","17.40M","1.29%"
"10/03/2025","597.99","608.07","610.11","586.87","22.00M","-4.42%"
"07/03/2025","625.66","625.37","634.79","600.61","21.38M","-0.36%"
"06/03/2025","627.93","648.00","650.56","624.11","13.45M","-4.35%"
"05/03/2025","656.47","641.00","659.50","637.66","13.77M","2.57%"
"04/03/2025","640.00","645.51","649.75","623.65","21.50M","-2.30%"
"03/03/2025","655.05","673.67","681.25","650.84","10.84M","-1.97%"
"28/02/2025","668.20","658.04","669.63","642.60","17.53M","1.51%"
"27/02/2025","658.24","682.45","688.65","657.57","12.50M","-2.29%"
"26/02/2025","673.70","659.65","683.01","658.00","14.49M","2.46%"
"25/02/2025","657.50","665.97","668.00","641.86","20.58M","-1.59%"
"24/02/2025","668.13","686.28","687.27","662.45","15.68M","-2.26%"
"21/02/2025","683.55","696.58","703.87","682.36","15.66M","-1.62%"
"20/02/2025","694.84","697.28","705.63","693.64","12.59M","-1.27%"
"19/02/2025","703.77","704.09","707.00","695.39","17.54M","-1.76%"
"18/02/2025","716.37","736.00","737.00","706.44","21.94M","-2.76%"
"14/02/2025","736.67","726.14","740.91","725.62","16.90M","1.11%"
"13/02/2025","728.56","721.52","729.00","718.04","12.57M","0.44%"
"12/02/2025","725.38","715.30","727.10","712.60","12.02M","0.78%"
"11/02/2025","719.80","713.32","723.66","710.04","13.00M","0.33%"
"10/02/2025","717.40","718.56","721.20","711.33","12.90M","0.40%"
"07/02/2025","714.52","716.79","725.01","711.75","16.43M","0.36%"
"06/02/2025","711.99","705.88","718.90","703.50","13.08M","1.01%"
"05/02/2025","704.87","703.55","718.14","699.01","17.79M","0.10%"
"04/02/2025","704.19","702.50","707.71","691.61","13.83M","0.96%"
"03/02/2025","697.46","675.91","704.00","675.25","21.42M","1.20%"
"31/01/2025","689.18","691.00","705.30","685.58","19.33M","0.32%"
"30/01/2025","687.00","696.82","710.79","676.10","29.32M","1.55%"
